"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
121,"Agency—Private detective/investigative ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
122,"Agency—Private investigative:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
123,"Agency—Temp. services (originally Serv. For Pub.) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
124,"Amusement park/permanently located ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
125,"Animal Care—Boarding ",,"N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
126,"Animal care—Grooming ",,"N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
127,"Animal care—Hospital without vet ",,"N","N","N","N","Y","N","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
128,"Apartment, condominium, etc. rental:",,"N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
129,"Armored car service ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
130,"Auction shop ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
131,"Auctioneer ",,"N","N","N","Y","N","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
132,"Auto—Body painting, upholstery & top shop:",,"N","N","N","N","N","Y","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
133,"Auto - Brake & Tire Shop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Auto-Car Cleaning, Waxing and Detailing:",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
135,"Auto—Carwash Mechanical:",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
136,"Automobile repair:",,"N","N","N","Y","N","Y","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
137,"Auto recovery service:",,"N","N","N","Y","N","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
138,"Auto—Rental of trailers to be towed ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Auto—Stall rental for repair:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Auto—Rental - U Drive It leasing:",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
141,"Auto—Vehicle repair garage (incl. motorcycle) ",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
142,"Auto—Wrecker service:",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
143,"Automobile association ",,"N","N","N","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
144,"Banquet hall ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
145,"Barbershop/beauty parlor:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y"
146,"Bed and Breakfast Establishments",,"N","N","N","N","N","N","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
147,"Billiards, bagatelle or pool:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
148,"Bookkeeping or income tax service ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
149,"Bottle Club",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Bowling alley:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
151,"Brewery",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
152,"Burglar alarm—Rental/leasing of equip ",,"N","N","N","Y","N","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
153,"Business office—Not otherwise taxed:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
154,"Child Care Services",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
155,"Elder Care Services",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
156,"Home Health Agency",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
157,"Assisted Living Facilities",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
158,"Adult Day Care Centers",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
159,"Adult Family Care Homes",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
160,"Coin-Operated Amusement and Music Machines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Coin Operated Weighing Machines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Contest company ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Copy business:",,"N","N","N","Y","N","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
164,"Counselor/advisor (non-professional):",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
166,"Counselor/advisor—Hearing aid:",,"N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
167,"Dance hall ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
168,"Data processing service:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
169,"Dental hygienist/assistant ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
170,"Divine healer ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
171,"Dry clean plant ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
172,"Dry clean—Pick up station/no local plant ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
173,"Dry clean—self service or automatic:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
174,"Electronics—Computer Analyst and Programmers ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
175,"Event & Wedding Planning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Exterminator—Termites/other insects ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
177,"Fire alarm monitoring companies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Fire alarm operators:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Fire alarm system contractors:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Fortuneteller—Required fingerprinting:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
181,"Funeral home ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
182,"Go-karts amusement ",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
183,"Amusement rides and services ",,"N","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
184,"Golf—Driving range only ",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
185,"Golf—Miniature course ",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
186,"Golf—Regular course, 9 or 18 holes ",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
187,"Gymnasium, athletic club or health salon ",,"N","N","N","Y","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
188,"Hospital ",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
189,"Hotel, rooming house, motel, tourist, ct.:",,"N","N","N","N","N","N","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
190,"Interior decorator/designer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
191,"Janitorial & Allied Services — Exterior and Interior cleaning",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
192,"Janitorial & Allied Services—Parking Lot sweeping",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
193,"Kennel—Dog & other animals ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Laboratory ",,"N","N","N","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
195,"Laboratory—Dental ",,"N","N","N","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
196,"Laundry—Carpet/drape—off customer site ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
197,"Laundry—Diaper service only ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
198,"Laundry—Facility ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
199,"Laundry—Self service or automatic:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
200,"Lawn/yard maintenance:",,"N","N","N","N","N","N","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
201,"Linen, uniform & towel service only ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
202,"Marketing Consultant",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
203,"Masseur/masseuse ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
204,"Microfilming/not lic. as photographer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
205,"Mobile home serv, repair, awn. Inst.:",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
206,"Modeling/Talent Agency",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
207,"Motorcycle Mechanic",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
208,"Museum ",,"N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
209,"Newspaper—Local office for o/c paper ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
210,"Nightclub",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
211,"Notary public:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
212,"Photo or film dev./not otherwise lic ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
213,"Photographer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
214,"Physical/speech therapy ",,"N","N","N","Y","N","N","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
215,"Piano/organ tuner ",,"N","N","N","N","N","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
216,"Places of Religious Assembly",,"N","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
217,"Professional General",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
218,"Professional—Accountant/auditor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
219,"Professional—Acupuncture ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
220,"Professional—Architect ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
221,"Professional—Artist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
222,"Professional—Artist/tattoo ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
223,"Professional—Athletic trainer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
224,"Professional—Attorney/lawyer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
225,"Professional—Branch office ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
226,"Professional—Chemist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
227,"Professional—Chiropractor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
228,"Professional—Clinical social worker ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
229,"Professional—Consultant ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
230,"Professional—Dentist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
231,"Professional—Direct disposer (cremation) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
232,"Professional—Engineer/civil, consulting ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
234,"Professional—IT & Software Developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Professional—Land surveyor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
236,"Professional—Landscape architect ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
237,"Professional—Marriage & family therapist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
238,"Professional—Mental health counselor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
239,"Professional—Occupational therapist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
240,"Professional—Optician filling prescrip. ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
241,"Professional—Optician/prescrip & lenses ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
242,"Professional—Optometrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
243,"Professional—Osteopathic physician ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
244,"Professional—Physician/surgeon (MD) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
245,"Professional—Podiatrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
246,"Professional—Psychiatrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
247,"Professional—Psychologist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
248,"Professional—Veterinarian ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
249,"Professional—Writer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
250,"Promoter ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
251,"Publisher including graphics, etc ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
252,"Publisher—Agent ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
253,"Recording studio:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
254,"Recreational vehicle/motor homes, trucks  sales",,"N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
255,"Recreational vehicle/trvl. trailers, etc  storage",,"N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
