"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
30,"Gasoline and oil dealer wholesale ",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
31,"STORAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Cold storage plant",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
33,"Storage warehouse or lot",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
34,"TRANSPORTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Agency—travel",,"N","N","N","Y","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
36,"Aircraft—fixed base operator ",,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
37,"Aircraft—rental/leasing:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
38,"Ambulance service",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
39,"Auto—Buses:",,"N","N","N","Y","N","Y","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
40,"Auto—Limousines with drivers:",,"N","N","N","Y","N","Y","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
41,"Auto—Storage",,"N","N","N","Y","N","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
42,"Auto—Parking Lot",,"N","N","N","N","N","Y","N","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","N","Y"
43,"Auto—Taxicabs or vehicles with drivers:",,"N","N","N","Y","N","Y","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
44,"Auto—transfer, hauling or delivery company:",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
45,"Towing Company",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
46,"Auto—wrecker yard—storage—no retail sales ",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
47,"Railroad company ",,"N","N","N","Y","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
48,"Valet Parking Service",,"N","N","N","N","N","Y","N","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","N","Y"
49,"Bakery—Wholesale, plant ",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
50,"Distributor—Merchandise or commodities ",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
51,"Livestock bet/commission agent ",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
52,"Merchant—Wholesale from a vehicle",,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
53,"Merchant—Wholesale",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
54,"Art show, festival, etc.:",,"N","N","N","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
55,"Auto—New car dealer ",,"N","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
56,"Auto—Salvage yard ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
